등록연도,시군구명,연료별,용도별,승용차수,승합차수,화물차수,특수차수
2021,용인시 처인구,전기,비사업용,673,8,164,0
2021,용인시 처인구,전기,사업용,5,11,79,0
2021,용인시 기흥구,전기,비사업용,1167,6,80,2
2021,용인시 기흥구,전기,사업용,394,7,77,0
2021,용인시 수지구,전기,비사업용,995,1,29,0
2021,용인시 수지구,전기,사업용,5,0,30,0
2020,용인시 처인구,전기,비사업용,498,0,32,0
2020,용인시 처인구,전기,사업용,1,0,8,0
2020,용인시 기흥구,전기,비사업용,717,1,18,0
2020,용인시 기흥구,전기,사업용,2,1,9,0
2020,용인시 수지구,전기,비사업용,558,0,5,0
2020,용인시 수지구,전기,사업용,1,0,7,0
2019,용인시 처인구,전기,비사업용,346,0,0,0
2019,용인시 처인구,전기,사업용,1,0,0,0
2019,용인시 기흥구,전기,비사업용,462,1,0,0
2019,용인시 기흥구,전기,사업용,1,1,0,0
2019,용인시 수지구,전기,비사업용,332,0,0,0
